sample,operatingRating>64.35000228881836,latitude<=41.96083450317383,yearBuilt<=1969.0,latitude>41.96083450317383,longitude>-97.84249877929688,yearBuilt>1969.0,averageDailyTraffic<=27.5,operatingRating<=46.35000038146973,averageDailyTraffic>27.5,longitude<=-97.84249877929688,operatingRating<=64.35000228881836,operatingRating>46.35000038146973
S006 31632,X,,,,,X,,,,,,
S006 34157,X,,,,,X,,,,,,
S030 37773R,X,,,,,X,,,,,,
S030 45020,X,,,,,X,,,,,,
S077 06205R,X,,,,,X,,,,,,
S080 21627L,,,X,,,,,,X,,,
S080 31102R,,,X,,,,,,X,,,
S080 31128L,,,X,,,,,,X,,,
S080 31145L,,,X,,,,,,X,,,
S080 36684L,,,X,,,,,,X,,,
S080 36684R,,,X,,,,,,X,,,
S370 01407L,,,,,,X,,,,,X,X
